"State_Name","District","Sub-District","Financial_Year","Month","Indicator_Code","Indicator_Name","Code_And_Section","Reported_Value_for_Public_Facility","Reported_Value_for_Private_Facility","Reported_Value_for_Rural","Reported_Value_for_Urban"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.6","Number of IUCD Removals","M8 [Family Planning]","5","NA","5","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.7","Number of complications following IUCD Insertion","M8 [Family Planning]","1","NA","1","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.8","Injectable Contraceptive-Antara Program- First Dose","M8 [Family Planning]","10","NA","10","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.9","Injectable Contraceptive-Antara Program- Second Dose","M8 [Family Planning]","3","NA","3","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.10","Injectable Contraceptive-Antara Program- Third Dose","M8 [Family Planning]","2","NA","2","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.11","Injectable Contraceptive-Antara Program- Fourth or more than fourth","M8 [Family Planning]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.12","Number of Combined Oral Pill cycles distributed","M8 [Family Planning]","993","NA","993","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.13","Number of Condom pieces distributed","M8 [Family Planning]","2776","NA","2776","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.14","Number of Centchroman (weekly) pill strips distributed","M8 [Family Planning]","52","NA","52","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.15","Number of Emergency Contraceptive Pills (ECP) given","M8 [Family Planning]","26","NA","26","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.16","Number of Pregnancy Test Kits (PTK) used","M8 [Family Planning]","593","NA","593","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.17.1","Complications following male sterilization","M8 [Family Planning]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.17.2","Complications following female sterilization","M8 [Family Planning]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.17.3","Failures following male sterilization","M8 [Family Planning]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.17.4","Failures following female sterilization","M8 [Family Planning]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.17.5","Deaths following male sterilization","M8 [Family Planning]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","8.17.6","Deaths following female sterilization","M8 [Family Planning]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.1","Child immunisation - Vitamin K (Birth Dose)","M9 [CHILD IMMUNISATION]","180","NA","180","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.2","Child immunisation - BCG","M9 [CHILD IMMUNISATION]","180","NA","180","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.3","Child immunisation - DPT1","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.4","Child immunisation - DPT2","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.5","Child immunisation - DPT3","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.6","Child immunisation - Pentavalent 1","M9 [CHILD IMMUNISATION]","317","NA","317","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.7","Child immunisation - Pentavalent 2","M9 [CHILD IMMUNISATION]","362","NA","362","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.8","Child immunisation - Pentavalent 3","M9 [CHILD IMMUNISATION]","400","NA","400","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.9","Child immunisation - OPV 0 (Birth Dose)","M9 [CHILD IMMUNISATION]","180","NA","180","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.10","Child immunisation - OPV1","M9 [CHILD IMMUNISATION]","304","NA","304","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.11","Child immunisation - OPV2","M9 [CHILD IMMUNISATION]","362","NA","362","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.12","Child immunisation - OPV3","M9 [CHILD IMMUNISATION]","411","NA","411","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.13","Child immunisation - Hepatitis-B0 (Birth Dose)","M9 [CHILD IMMUNISATION]","180","NA","180","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.14","Child immunisation - Hepatitis-B1","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.15","Child immunisation - Hepatitis-B2","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.16","Child immunisation - Hepatitis-B3","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.17","Child immunisation - Inactivated Injectable Polio Vaccine 1 (IPV 1)","M9 [CHILD IMMUNISATION]","304","NA","304","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.18","Child immunisation - Inactivated Injectable Polio Vaccine 2 (IPV 2)","M9 [CHILD IMMUNISATION]","412","NA","412","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.19","Child immunisation - Rotavirus 1","M9 [CHILD IMMUNISATION]","304","NA","304","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.20","Child immunisation - Rotavirus 2","M9 [CHILD IMMUNISATION]","362","NA","362","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.21","Child immunisation - Rotavirus 3","M9 [CHILD IMMUNISATION]","411","NA","411","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.22","Child Immunisation- PCV 1","M9 [CHILD IMMUNISATION]","294","NA","294","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.23","Child Immunisation- PCV 2","M9 [CHILD IMMUNISATION]","390","NA","390","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.1.24","Child Immunisation- PCV Booster","M9 [CHILD IMMUNISATION]","350","NA","350","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.2.1","Child immunisation (9-11months) - Measles & Rubella (MR)/ Measles containing vaccine(MCV) - 1st Dose","M9 [CHILD IMMUNISATION]","363","NA","363","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.2.2","Child immunisation (9-11months) - Measles 1st dose","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.2.3","Child immunisation (9-11months) - JE 1st dose","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.2.4.a","Children aged between 9 and 11 months fully immunized- Male","M9 [CHILD IMMUNISATION]","192","NA","192","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.2.4.b","Children aged between 9 and 11 months fully immunized - Female","M9 [CHILD IMMUNISATION]","178","NA","178","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.3.1","Child immunisation(after 12 months) - Measles & Rubella (MR)/Measles containing vaccine(MCV)- 1st Dose","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.3.2","Child immunisation (after 12 months) - Measles-1st dose","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.3.3","Child immunisation (after 12 months) - JE 1st dose","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.4.1","Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months)","M9 [CHILD IMMUNISATION]","354","NA","354","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.4.2","Child immunisation - Measles 2nd dose (More than 16 months)","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.4.3","Child immunisation - DPT 1st Booster","M9 [CHILD IMMUNISATION]","354","NA","354","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.4.4","Child immunisation - OPV Booster","M9 [CHILD IMMUNISATION]","354","NA","354","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.4.5","Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.4.6","Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.5.1","Child immunisation - Typhoid","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.5.2","Children more than 5 years received DPT5 (2nd Booster)","M9 [CHILD IMMUNISATION]","264","NA","264","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.5.3","Children more than 10 years received TT10/ Td10","M9 [CHILD IMMUNISATION]","246","NA","246","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.5.4","Children more than 16 years received TT16/ Td16","M9 [CHILD IMMUNISATION]","254","NA","254","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.6.1","Number of cases of AEFI - Abscess","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.6.2","Number of cases of AEFI - Death","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.6.3","Number of cases of AEFI - Others","M9 [CHILD IMMUNISATION]","5","NA","5","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.7.1","Immunisation sessions planned","M9 [CHILD IMMUNISATION]","376","NA","376","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.7.2","Immunisation sessions held","M9 [CHILD IMMUNISATION]","355","NA","355","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.7.3","Number of Immunisation sessions where ASHAs were present","M9 [CHILD IMMUNISATION]","314","NA","314","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.8.1","Child immunisation - Vitamin A Dose - 1","M9 [CHILD IMMUNISATION]","342","NA","342","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.8.2","Child immunisation - Vitamin A Dose - 5","M9 [CHILD IMMUNISATION]","2","NA","2","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.8.3","Child immunisation - Vitamin A Dose - 9","M9 [CHILD IMMUNISATION]","3","NA","3","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.9","Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly)","M9 [CHILD IMMUNISATION]","19218","NA","19218","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.10","Number of children (12-59 months) provided Albendazole","M9 [CHILD IMMUNISATION]","250","NA","250","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","9.11","Number of severely underweight children provided Health Checkup (0-5 years)","M9 [CHILD IMMUNISATION]","39","NA","39","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.1","Childhood Diseases - Pneumonia","M10 [Number of cases of Childhood Diseases (0-5 years)]","1","NA","1","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.2","Childhood Diseases - Asthma","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.3","Childhood Diseases - Sepsis","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.4","Childhood Diseases - Diphtheria","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.5","Childhood Diseases - Pertussis","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.6","Childhood Diseases - Tetanus Neonatorum","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.7","Childhood Diseases - Tuberculosis (TB)","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.8","Childhood Diseases - Acute Flaccid Paralysis(AFP)","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.9","Childhood Diseases - Measles","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.10","Childhood Diseases - Malaria","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.11","Childhood Diseases - Diarrhoea","M10 [Number of cases of Childhood Diseases (0-5 years)]","43","NA","43","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.12","Childhood Diseases - Diarrhoea treated in Inpatients","M10 [Number of cases of Childhood Diseases (0-5 years)]","17","NA","17","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.13","Children admitted with Respiratory Infections","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","10.14","Childhood Diseases - Severe Acute Malnutrition (SAM)","M10 [Number of cases of Childhood Diseases (0-5 years)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","11.1.1.a","Total Blood Smears Examined for Malaria","M11 [NVBDCP]","1541","NA","1541","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","11.1.1.b","Malaria (Microscopy Tests ) - Plasmodium Vivax test positive","M11 [NVBDCP]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","11.1.1.c","Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive","M11 [NVBDCP]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","11.1.2.a","RDT conducted for Malaria","M11 [NVBDCP]","1603","NA","1603","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","11.1.2.b","Malaria (RDT) - Plasmodium Vivax test positive","M11 [NVBDCP]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","11.1.2.c","Malaria (RDT) - Plamodium Falciparum test positive","M11 [NVBDCP]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","11.2.1","Kala Azar (RDT) - Tests Conducted","M11 [NVBDCP]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","11.2.2","Kala Azar Positive Cases","M11 [NVBDCP]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","11.2.3","Post-kala-azar dermal leishmaniasis (PKDL) cases","M11 [NVBDCP]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","11.3.1","Dengue - RDT Test Positive","M11 [NVBDCP]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","12.1.1.a","Girls registered in AFHC","M12 [Adolescent Health]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","12.1.1.b","Boys registered in AFHC","M12 [Adolescent Health]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","12.1.2.a","Out of registered, Girls received clinical services","M12 [Adolescent Health]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","12.1.2.b","Out of registered, Boys received clinical services","M12 [Adolescent Health]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","12.1.3.a","Out of registered, Girls received counselling","M12 [Adolescent Health]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","12.1.3.b","Out of registered, Boys received counselling","M12 [Adolescent Health]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","13.1","Number of on-going DOTS patients registered","M13 [Directly Observed Treatment, Short-course (DOTS)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","13.2","Number of DOTS cases completed successfully","M13 [Directly Observed Treatment, Short-course (DOTS)]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.1.1","Outpatient - Diabetes","M14 [Patient Services]","162","NA","162","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.1.2","Outpatient - Hypertension","M14 [Patient Services]","269","NA","269","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.1.3","Outpatient - Stroke (Paralysis)","M14 [Patient Services]","6","NA","6","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.1.4","Outpatient - Acute Heart Diseases","M14 [Patient Services]","8","NA","8","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.1.5","Outpatient - Mental illness","M14 [Patient Services]","7","NA","7","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.1.6","Outpatient - Epilepsy","M14 [Patient Services]","3","NA","3","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.1.7","Outpatient - Ophthalmic Related","M14 [Patient Services]","179","NA","179","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.1.8","Outpatient - Dental","M14 [Patient Services]","174","NA","174","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.1.9","Outpatient - Oncology","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.2.1","Allopathic- Outpatient attendance","M14 [Patient Services]","12292","NA","12292","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.2.2","Ayush - Outpatient attendance","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.3.1.a","Inpatient (Male) - Children < 18 years","M14 [Patient Services]","37","NA","37","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.3.1.b","Inpatient (Male)- Adults","M14 [Patient Services]","149","NA","149","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.3.2.a","Inpatient (Female) - Children < 18 years","M14 [Patient Services]","31","NA","31","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.3.2.b","Inpatient (Female)- Adults","M14 [Patient Services]","172","NA","172","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.3.3","Number of Left Against Medical Advice (LAMA) cases","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.4.1","Inpatient - Malaria","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.4.2","Inpatient - Dengue","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.4.3","Inpatient - Typhoid","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.4.4","Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.4.5","Inpatient - Tuberculosis","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.4.6","Inpatient - Pyrexia of unknown origin (PUO)","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.4.7","Inpatient - Diarrhea with dehydration","M14 [Patient Services]","13","NA","13","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.4.8","Inpatient - Hepatitis","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.5","Patients registered at Emergency Department","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.6.1","Emergency - Trauma ( accident, injury, poisoning etc)","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.6.2","Emergency - Burn","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.6.3","Emergency - Obstetrics complications","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.6.4","Emergency - Snake Bite","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.6.5","Emergency - Acute Caridiac Emergencies","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.6.7","Emergency - CVA ( Cerebovascular Disease)","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.7","Number of deaths occurring at Emergency Department","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.8.1","Operation major (General and spinal anaesthesia)","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.8.2","Out of Operation major, Gynecology- Hysterectomy surgeries","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.8.4","Operation minor (No or local anaesthesia)","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.8.6","Number of blood units issued","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.8.7","Number of blood transfusions done","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.9.1","Inpatient Deaths - Male","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.9.2","Inpatient Deaths - Female","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.10","In-Patient Head Count at midnight","M14 [Patient Services]","376","NA","376","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.11","Number of Admission in NBSU ( New Born Stabilisation Unit)","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.12.1","Special Newborn Care Unit (SNCU Admissions) - Inborn Male","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.12.2","Special Newborn Care Unit (SNCU Admissions) - Inborn Female","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.12.3","Outborn – Male","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.12.4","Outborn - Female","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.12.5","Number of newborns admitted in SNCU - referred by ASHA","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.13","Number of deaths occurring at SNCU","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.14.1","Number of children admitted in NRC","M14 [Patient Services]","7","NA","7","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.14.2","Number of children discharged with target weight gain from the NRCs","M14 [Patient Services]","7","NA","7","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.15","Number of Rogi Kalyan Samiti (RKS) meetings held","M14 [Patient Services]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","14.16","Number of Anganwadi centres/ UPHCs reported to have conducted Village Health & Nutrition Day (VHNDs)/ Urban Health & Nutrition Day (UHNDs)/ Outreach / Special Outreach","M14 [Patient Services]","287","NA","287","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","15.1","Number of Lab Tests done","M15 [Laboratory Testing]","4142","NA","4142","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","15.2.1","Number of Hb tests conducted","M15 [Laboratory Testing]","1251","NA","1251","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","15.2.2","Out of the total number of Hb tests done, Number having Hb < 7 mg","M15 [Laboratory Testing]","2","NA","2","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","15.3.1.a","Male HIV - Number Tested (by finger prick test)","M15 [Laboratory Testing]","141","NA","141","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","15.3.1.b","Male HIV - Number Positive","M15 [Laboratory Testing]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","15.3.2.a","Female Non ANC HIV - Number Tested (by finger prick test)","M15 [Laboratory Testing]","120","NA","120","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","15.3.2.b","Female Non ANC HIV - Number Positive","M15 [Laboratory Testing]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","15.3.3.a","Number of pregnant women screened for HIV (by finger prick test)","M15 [Laboratory Testing]","348","NA","348","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","15.3.3.b","Out of the above, number screened positive","M15 [Laboratory Testing]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","15.3.3.c","Out of the above number screened positive, number confirmed with HIV infection at Integrated Counselling and Testing Centre (ICTC)","M15 [Laboratory Testing]","NA","NA","NA","NA"
"Madhya Pradesh","East Nimar","Khalwa","2021-22","April    ","15.3.4.a","Number of Male STI/RTI attendees tested for syphilis","M15 [Laboratory Testing]","NA","NA","NA","NA"
